window_id,symbol,reference_label,before_regime,before_confidence,before_match_status,after_regime,after_confidence,after_match_status,regime_changed,confidence_changed,improvement_status,safety_preserved,notes
sol_15m_expected_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
sol_15m_expected_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
sol_15m_expected_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
sol_15m_expected_unknown_or_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
sol_15m_recent_baseline_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btcusdt_15m_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
btcusdt_15m_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btcusdt_15m_high_volatility_chop_001,BTCUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btcusdt_15m_up_002,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_down_002,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_flat_002,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
btcusdt_15m_mixed_002,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btcusdt_15m_up_003,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_down_003,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_flat_003,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
btcusdt_15m_mixed_003,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btcusdt_15m_up_004,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btcusdt_15m_recent_baseline_001,BTCUSDT,RECENT_BASELINE,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
solusdt_15m_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
solusdt_15m_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
solusdt_15m_high_volatility_chop_001,SOLUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
solusdt_15m_up_002,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_down_002,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_flat_002,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
solusdt_15m_mixed_002,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
solusdt_15m_up_003,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_down_003,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_flat_003,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
solusdt_15m_mixed_003,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,0.6,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
solusdt_15m_up_004,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
solusdt_15m_recent_baseline_001,SOLUSDT,RECENT_BASELINE,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
ethusdt_15m_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
ethusdt_15m_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
ethusdt_15m_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,False,False,UNCHANGED_QUESTIONABLE,True,clear reference remains UNKNOWN
ethusdt_15m_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
ethusdt_15m_high_volatility_chop_001,ETHUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,DOWN,0.6,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
ethusdt_15m_up_002,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
ethusdt_15m_down_002,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
ethusdt_15m_flat_002,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
ethusdt_15m_mixed_002,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
ethusdt_15m_up_003,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,False,False,UNCHANGED_QUESTIONABLE,True,clear reference remains UNKNOWN
ethusdt_15m_down_003,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
ethusdt_15m_flat_003,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
ethusdt_15m_mixed_003,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,DOWN,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
ethusdt_15m_up_004,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
ethusdt_15m_recent_baseline_001,ETHUSDT,RECENT_BASELINE,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
